score,content,label
5,Mantap,Positif
5,"info gopay mod, agar menjadi Elon masker selebew cees nih bos nyenggol dong keno bot tiyat Ade bapa gu",Positif
1,Sopir nya pada belagu 10 kali pesen ongkos sampe dinaikin 2 kali lipat gaada yg respon ðŸ¤¬ðŸ¤¬ðŸ¤¬ Lain kali kalo gak niat nyari penumpang notif matiin biar gak kesel orang yg nyariin!!!!!!,Negatif
1,Mengapa saya tidak bisa menggunakan gopaylater lagi? Selalu terjadi kesalahan,Negatif
5,Good,Positif
1,"Bener2 keterlaluan gojek Pesen gofood jarak gak smpai 5 km Pesen gofood makanan sudah jadi 1 jam cuma nunggu driver,ada yg jarak nya jauh,ada yg di chat gak di bales,ada yg di telfon ga di angkat kebangetan lu Gojek",Negatif
1,"Beli pulsa jadi ribet, yutub aja lancar masa pas mau bayar pulsa bilangnya tidak tersambung ke internet",Negatif
4,keren,Positif
1,"Gak lagi pesen go food malam2,udah driver nya yg salah malah balik nyalahin costumer,minimal minta maaf,sorry aplikasi nya bakalan langsung di hapus.driver nya juga gak ramah",Negatif
4,Aplikasinya kadang suka lemot. Tapi harga kadang lebih hemat dari pada sebelah. Semakin banyak voucher diskon ya.,Positif
4,"If there is a visual of who is nearest driver engaged to, it will be nice, regardless driver is accepting or not Update from 3 star to 4",Positif
4,Mantap pokoke,Positif
1,Eror kok terus.. Pesen nya jam 6 sampe nya 3 jam..emang kurang driver.. Gila gila.. Ndak usah bnyak diotak atik. Jaman pak nadiem g pernah eror.,Negatif
5,Good,Positif
1,Makin ga punya hati sama otak makin kesini. Banyak manusia berhati setan di dalam sini,Negatif
5,Overall ok Cm goride nya sk mahal,Positif
5,Mantap,Positif
5,Enak deh pokoknye,Positif
5,Bagus servicenya,Positif
5,luar biasa,Positif
1,"Harusnya ada fitur membatalkan pesanan, saya tidak sengaja membuat pesanan dan salah metode pembayaran cash. Sudah hubungi cust service tapi gak membantu sama sekali, tolong kalau memang gabisa cancel pesanan dari awal dibuat aja gabisa membatalkan pesanan ga usah buat fitur bantuan untuk membatalkan pesanan. saya rugi banyak soalnya karna hp saya dipake keponakan asal klik pesan.. ini tolong ya gojek jelek bgt aplikasinya",Negatif
4,"Tolong berikan lebih banyak promo metode pembayaran tunai , terutama untuk goride gofood gocar nya",Positif
1,Ga jelas pake gojek,Negatif
1,Ngelag. gak jelas. banyak banget log gak jelas. numpuk. parah.,Negatif
5,"senang lah pokoknya pakai aplikasih gojek, kalau kita mau pesan makanan bisa di pesan dekat dan harga bisa di Murahkan",Positif
5,Selama ini masih aman aja sih masih ok lah,Positif
1,"Awalny baik2 aja.. kok makin kesini makin aneh, tiap kali mau pembayaran notifnya gak ada jaringan internet lah atau apa gitu. Bukan cuma saat mau bayar pesanan, bayar tagihan aja gitu seringnya. Bikin males buat pesan online lama2 pake aplikasi gojek.",Negatif
1,Knp skrg jd srg hang sih apk nya,Negatif
1,"Telat 1hari 50k ,,mantabbb!!!",Negatif
5,Ok,Positif
5,Sangat membantu dan mempermudah,Positif
5,good,Positif
1,saya tidak dapat transfer dan memakai gopay,Negatif
5,Mantul,Positif
5,ramah tama,Positif
1,Buruk pelayanan...Buruk penagihan..Buruk informasi..Sangat Mengecewakan..Lebih baik aplikasi sebelah..Menawarkan tapi ditolak..dan terus berulang..kebanyakan info tapi bobrok pelayanannya..driver juga belagu semua..songong songong..telat mengantar..BURUUUKKK..âš’ï¸,Negatif
1,"aplikasi error' tanpa perbaikan, menyebalkan",Negatif
5,Sejauh ini ok banget,Positif
5,Salam satu aspal,Positif
1,"Gopaylater mulai ga jelas, qrs ga bisa dipakai metode gopaylater udah hampir 3 bulan kacau sih",Negatif
4,Knp sekarang dot drivernya posisi jauh pdhl yg dkt jg banyak,Positif
5,"Aplikasi super fleksibel coyyy, OoomaagaaðŸ˜±",Positif
1,Suka eror kalau pesen2,Negatif
5,mantap,Positif
4,Berguna dan bermanfaat ðŸ‘ðŸ‘ðŸ‘,Positif
5,ðŸ‘,Positif
5,Good,Positif
5,Mantap polll,Positif
5,Sangat membantu bangat buat aku di kala aku lagi ngga ada kendaraan l love yau,Positif
5,jos,Positif
5,Mantaaapppp,Positif
5,"aplikasi hampir serba bisa, drivernya selalu ramah dan beberapa suka ngajak ngobrol juga, banyak promo, penjemputan cepat, dan tepat waktu pengantaran.",Positif
5,aplikasi ini sangat bagus banget,Positif
5,Mantap,Positif
5,Apk yg sangat bagus,Positif
5,Bagus aja si,Positif
1,"gw mau hapus akun gk bisa.. notif nya hrs byr tagihan dl, sekate2 ya.. gw gk ada utang ya.. jgn u tipu2 gw, gw viralin nanti bisa2 gulung tiker kalian.. brengsek penipu!!!! Tiati gaes.. jgn mau pake layanan gojekpaylater, penipu!!!!",Negatif
5,Ok,Positif
1,Gapernah / sulit dapet driver ketika order goride / gofood padahal di map banyak driver cukup kecewa.,Negatif
1,GILEEEEE DRIVER GOCAR NYA SERING BANGET NOLAK ORDERAN...TOLONG DONG GOJEK TINDAK DRIVER YANG SUKA NOLAKÂ² KONSUMEN.MASA IYA 1 JAM DI TOLAKIN TERUS ORDERAN SAYA.PADAHAL BAYAR PAKAI GOPAY YG BERARTI BUKAN ORDER FIKTIF.LAMAÂ² PINDAH KE APLIKASI LAIN NANTI KALAU SALDO GOPAY SAYA SUDAH HABIS,Negatif
5,tranportasi aplkasi yg baik,Positif
4,Lebih Di Tingkatkan Lagi,Positif
5,Mempermudahhh kita untuk hal2 yg mendesak..,Positif
1,Lemot aplikasinya,Negatif
5,BERMAANPAAT,Positif
5,Membantu sekali disaat diperlukan,Positif
1,Nyari gocar an susahnya,Negatif
5,Sangat bagus,Positif
5,Sangat memudahkan saya ketika lagi di surabaya. 98 deh ku kasih nilai nya.,Positif
1,Kecewa gak ada promoannya.,Negatif
1,"Ga ada fitur cancel order di go transit, Dan ga ada alamat keluar di stasiun yg sama. Misal kita udh masuk di stasiun Tebet, itu gabisa keluar lagi langsung di stasiun Tebet, kita harus ke tujuan yg ada di tiket yg kita beli, BUSUK !!",Negatif
2,Susah dapat drivernya,Negatif
5,mantqp,Positif
5,Pokonya oke,Positif
1,HANYA PARA BIG BOS YG SEJAHTERA,Negatif
5,Ok,Positif
5,Bagus,Positif
2,Perhatikan kualitas driver & motor Guna meningkatkan kenyamanan & keselamatan Buat goclub juga kayaknya kurang maksimal. Setiap hujan gocar juga jarang bgt ngambil orderan.,Negatif
5,"Ya. Alhamdulillah, selama ini aman-aman aja. ðŸ˜ƒ",Positif
5,Jadi gampang dengan ada nya gojeg onlene terimakasih,Positif
5,Sejauh ini belum pernah kecewa,Positif
5,Cara gampang pesan makanan...go food aja..di jamin penuh promo dan diskon..buruan...aplikasi mudah..makasi gojek,Positif
1,"saya sebagai pengguna aplikasi merasa kasihan terhadap driver dengan adanya argo goceng banyak mereka memiliki keluarga dan anak serta kebutuhan lainnya,apa yang kalian pikirkan?",Negatif
5,Lebar baik,Positif
5,Good,Positif
5,gado2 sama soto ayamnya walaupun harganya murah tpi rasanya enak banget...,Positif
1,"Sekarang gk bisa Liat Driver ada di posisi mana,dan lama pick up makanannya padahal estimasi 15 menit cari driver ini lebih dari 15 menit. Udah gitu keburu dingin nungguin makanannya. Belum waktu perjalanan antaranya!!! Ongkirnya yg Regular bukan Hemat!!!!",Negatif
4,tidak bisa angkat panggilan dari driver,Positif
1,"Semakin kesini pelayanan nya semakin jelek telat 3 hari aja limit Gopayletter tidak bisa di gunakan lagi, gak seperti dulu yang asik asik aja.",Negatif
5,ðŸ‘,Positif
5,Mantap,Positif
5,matur nuwun mas,Positif
5,bgs iy dh,Positif
5,Mantap,Positif
1,Dapat drivernya lama amat. Padahal di mapsnya banyak gambar mobil ijo ijo,Negatif
5,t o p b g t,Positif
2,Sering error tolong di perbaiki lagi min,Negatif
2,Diskon sedikit,Negatif
1,"Tidak bisa pakai ,,",Negatif
1,woi lah.. gocar seenak jidat aja cari penumpang pas hujan...,Negatif
1,Aplikasi crash,Negatif
1,gak jelas ah pin gw salah mulu padahal udah diganti dan sudah masukin pin yg benar tapi tetap salah apk gaguna,Negatif
1,Mahal banget ongkir + biaya lain nya,Negatif
5,Ok banget,Positif
1,"Intinya grab hanyalah aplk terbaik dibanding gojek, mau tau kenapa? Karena driver gojek banyak yg nyebelin judes jutek",Negatif
2,"Mohon sebelum nya di aplikasi gojek ini saya tiba tiba saldo gopay saya habis memakai youtube premium, akan tetapi padahal saya tidak membeli youtube premium tersebut, bahkan setelah saya masuk ke youtube saya tidak mendapatkan akses youtube premium, tetapi saldo saya tetap habis gara gara isu tersebut, mhon untuk segera memperbaiki masalah ini, karena ini sudah terjadi untuk ke 2 kalinya bagi saya, yang dimana saldo saya sudah hilang dan tak bisa di ambil kembali terimakasih ðŸ™",Negatif
5,Berguna sekali untuk kehidupan sehari hari,Positif
5,Jnoi87. M..M jn9k Li m mykhk b0,Positif
1,"PEMBAYARAN DI SPBU MENGGUNAKAN QRIS GOPAY, UANG NYANGKUT,, DI SAYA UDAH KEPOTONG TAPI DI SPBU TRANSAKSI GAK BERHASIL.. KATA ORANG SPBU NANTI UANGNYA BALIK LAGI KE SAYA TAPI NYATANYA BELOM DI BALIKIN SAMPE SEKARANG . . !!!!!!!!!!!! UDAH HAMPIR 1 BULAN, INI MAKSUDNYA APA SIH ?????",Negatif
